,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2001-01-01,4925.37375
6,S,Sul,2001-01-02,6779.6875
10,S,Sul,2001-01-03,7371.00416667
14,S,Sul,2001-01-04,7543.17083333
18,S,Sul,2001-01-05,7732.31666667
22,S,Sul,2001-01-06,6834.92083333
26,S,Sul,2001-01-07,5801.07083333
30,S,Sul,2001-01-08,7442.925
34,S,Sul,2001-01-09,7794.75833333
38,S,Sul,2001-01-10,7848.09166667
42,S,Sul,2001-01-11,7488.25416667
46,S,Sul,2001-01-12,7205.54583333
50,S,Sul,2001-01-13,6514.95416667
54,S,Sul,2001-01-14,5603.39166667
58,S,Sul,2001-01-15,7376.37083333
62,S,Sul,2001-01-16,7740.48333333
66,S,Sul,2001-01-17,7885.20833333
70,S,Sul,2001-01-18,7957.59166667
74,S,Sul,2001-01-19,7964.36666667
78,S,Sul,2001-01-20,6749.15416667
82,S,Sul,2001-01-21,5636.84166667
86,S,Sul,2001-01-22,7490.05
90,S,Sul,2001-01-23,7826.77916667
94,S,Sul,2001-01-24,7925.72916667
98,S,Sul,2001-01-25,7973.525
102,S,Sul,2001-01-26,8213.18333333
106,S,Sul,2001-01-27,7134.5625
110,S,Sul,2001-01-28,5945.6125
114,S,Sul,2001-01-29,7546.8875
118,S,Sul,2001-01-30,7708.02083333
122,S,Sul,2001-01-31,7801.87083333
126,S,Sul,2001-02-01,7762.62083333
130,S,Sul,2001-02-02,7731.45833333
134,S,Sul,2001-02-03,6810.85833333
138,S,Sul,2001-02-04,5661.60416667
142,S,Sul,2001-02-05,7587.0125
146,S,Sul,2001-02-06,7926.16666667
150,S,Sul,2001-02-07,8058.24583333
154,S,Sul,2001-02-08,8328.2875
158,S,Sul,2001-02-09,8282.85
162,S,Sul,2001-02-10,7221.50416667
166,S,Sul,2001-02-11,6157.775
170,S,Sul,2001-02-12,7894.05
174,S,Sul,2001-02-13,7936.19166667
178,S,Sul,2001-02-14,7986.31666667
182,S,Sul,2001-02-15,7912.7125
186,S,Sul,2001-02-16,7884.1375
190,S,Sul,2001-02-17,6949.17083333
194,S,Sul,2001-02-18,5894.19166667
198,S,Sul,2001-02-19,7703.225
202,S,Sul,2001-02-20,7981.53333333
206,S,Sul,2001-02-21,8078.65416667
210,S,Sul,2001-02-22,8148.68333333
214,S,Sul,2001-02-23,8125.8625
218,S,Sul,2001-02-24,7096.52916667
222,S,Sul,2001-02-25,5995.34166667
226,S,Sul,2001-02-26,7158.53333333
230,S,Sul,2001-02-27,7006.50833333
234,S,Sul,2001-02-28,7888.2625
238,S,Sul,2001-03-01,8205.55833333
242,S,Sul,2001-03-02,8308.2875
246,S,Sul,2001-03-03,7281.95416667
250,S,Sul,2001-03-04,6206.33333333
254,S,Sul,2001-03-05,8198.82916667
258,S,Sul,2001-03-06,8425.67916667
262,S,Sul,2001-03-07,8282.85833333
266,S,Sul,2001-03-08,8285.86666667
270,S,Sul,2001-03-09,8377.74166667
274,S,Sul,2001-03-10,7305.65833333
278,S,Sul,2001-03-11,6079.55416667
282,S,Sul,2001-03-12,7943.9625
286,S,Sul,2001-03-13,8360.34166667
290,S,Sul,2001-03-14,8499.625
294,S,Sul,2001-03-15,8372.61666667
298,S,Sul,2001-03-16,8240.54583333
302,S,Sul,2001-03-17,7217.9625
306,S,Sul,2001-03-18,5996.425
310,S,Sul,2001-03-19,7827.74166667
314,S,Sul,2001-03-20,8134.40833333
318,S,Sul,2001-03-21,8320.7375
322,S,Sul,2001-03-22,8411.4375
326,S,Sul,2001-03-23,8320.5625
330,S,Sul,2001-03-24,7134.48333333
334,S,Sul,2001-03-25,5959.34583333
338,S,Sul,2001-03-26,7761.19583333
342,S,Sul,2001-03-27,7833.14583333
346,S,Sul,2001-03-28,7726.2625
350,S,Sul,2001-03-29,7841.45833333
354,S,Sul,2001-03-30,7959.43333333
358,S,Sul,2001-03-31,7051.34166667
362,S,Sul,2001-04-01,5769.03333333
366,S,Sul,2001-04-02,7521.75416667
370,S,Sul,2001-04-03,7844.375
374,S,Sul,2001-04-04,7936.76666667
378,S,Sul,2001-04-05,7951.0625
382,S,Sul,2001-04-06,7903.59166667
386,S,Sul,2001-04-07,6930.0875
390,S,Sul,2001-04-08,5870.24583333
394,S,Sul,2001-04-09,7576.00833333
398,S,Sul,2001-04-10,7819.21666667
402,S,Sul,2001-04-11,7852.39166667
406,S,Sul,2001-04-12,7796.57916667
410,S,Sul,2001-04-13,5699.94166667
414,S,Sul,2001-04-14,6165.79166667
418,S,Sul,2001-04-15,5493.7625
422,S,Sul,2001-04-16,7474.35416667
426,S,Sul,2001-04-17,7820.95416667
430,S,Sul,2001-04-18,7841.10833333
434,S,Sul,2001-04-19,7914.45
438,S,Sul,2001-04-20,7776.87916667
442,S,Sul,2001-04-21,6299.75416667
446,S,Sul,2001-04-22,5509.14583333
450,S,Sul,2001-04-23,7450.1125
454,S,Sul,2001-04-24,7668.55416667
458,S,Sul,2001-04-25,7503.82916667
462,S,Sul,2001-04-26,7787.50416667
466,S,Sul,2001-04-27,7816.58333333
470,S,Sul,2001-04-28,7000.4625
474,S,Sul,2001-04-29,5788.40833333
478,S,Sul,2001-04-30,7043.34583333
482,S,Sul,2001-05-01,5841.65
486,S,Sul,2001-05-02,7441.46666667
490,S,Sul,2001-05-03,7627.35833333
494,S,Sul,2001-05-04,7436.40416667
498,S,Sul,2001-05-05,6325.3625
502,S,Sul,2001-05-06,5284.62916667
506,S,Sul,2001-05-07,7068.80833333
510,S,Sul,2001-05-08,7420.2375
514,S,Sul,2001-05-09,7354.61666667
518,S,Sul,2001-05-10,7403.8125
522,S,Sul,2001-05-11,7371.6125
526,S,Sul,2001-05-12,6438.99583333
530,S,Sul,2001-05-13,5226.15833333
534,S,Sul,2001-05-14,6792.4875
538,S,Sul,2001-05-15,7188.39583333
542,S,Sul,2001-05-16,7290.86666667
546,S,Sul,2001-05-17,7180.1
550,S,Sul,2001-05-18,7104.1625
554,S,Sul,2001-05-19,6219.7625
558,S,Sul,2001-05-20,5059.67083333
562,S,Sul,2001-05-21,6820.0625
566,S,Sul,2001-05-22,7025.025
570,S,Sul,2001-05-23,7030.54166667
574,S,Sul,2001-05-24,6980.77916667
578,S,Sul,2001-05-25,6994.125
582,S,Sul,2001-05-26,6212.1125
586,S,Sul,2001-05-27,5126.24166667
590,S,Sul,2001-05-28,6756.39166667
594,S,Sul,2001-05-29,7010.45
598,S,Sul,2001-05-30,6954.44166667
602,S,Sul,2001-05-31,7040.24583333
606,S,Sul,2001-06-01,7107.77916667
610,S,Sul,2001-06-02,6165.36583333
614,S,Sul,2001-06-03,5150.35
618,S,Sul,2001-06-04,6778.22916667
622,S,Sul,2001-06-05,6912.67083333
626,S,Sul,2001-06-06,6968.2
630,S,Sul,2001-06-07,6945.67083333
634,S,Sul,2001-06-08,6946.65833333
638,S,Sul,2001-06-09,6201.65833333
642,S,Sul,2001-06-10,5040.4875
646,S,Sul,2001-06-11,6725.35
650,S,Sul,2001-06-12,6978.10833333
654,S,Sul,2001-06-13,7021.125
658,S,Sul,2001-06-14,5659.28333333
662,S,Sul,2001-06-15,6524.52916667
666,S,Sul,2001-06-16,5884.35833333
670,S,Sul,2001-06-17,4819.42083333
674,S,Sul,2001-06-18,6541.55
678,S,Sul,2001-06-19,6870.95
682,S,Sul,2001-06-20,6826.425
686,S,Sul,2001-06-21,6762.19583333
690,S,Sul,2001-06-22,6826.13333333
694,S,Sul,2001-06-23,5981.3375
698,S,Sul,2001-06-24,4919.4125
702,S,Sul,2001-06-25,6778.12916667
706,S,Sul,2001-06-26,6855.38333333
710,S,Sul,2001-06-27,6832.41666667
714,S,Sul,2001-06-28,6803.26041667
718,S,Sul,2001-06-29,6754.50416667
722,S,Sul,2001-06-30,5944.79166667
726,S,Sul,2001-07-01,4852.93333333
730,S,Sul,2001-07-02,6565.80833333
734,S,Sul,2001-07-03,6821.06666667
738,S,Sul,2001-07-04,6888.07083333
742,S,Sul,2001-07-05,6897.025
746,S,Sul,2001-07-06,6866.9625
750,S,Sul,2001-07-07,5916.29166667
754,S,Sul,2001-07-08,4861.19583333
758,S,Sul,2001-07-09,6682.15416667
762,S,Sul,2001-07-10,6893.76666667
766,S,Sul,2001-07-11,7016.37083333
770,S,Sul,2001-07-12,6714.68333333
774,S,Sul,2001-07-13,6704.17916667
778,S,Sul,2001-07-14,5865.4875
782,S,Sul,2001-07-15,4767.05833333
786,S,Sul,2001-07-16,6640.59166667
790,S,Sul,2001-07-17,6975.52083333
794,S,Sul,2001-07-18,7062.27916667
798,S,Sul,2001-07-19,7011.725
802,S,Sul,2001-07-20,7008.375
806,S,Sul,2001-07-21,6101.35416667
810,S,Sul,2001-07-22,4843.10833333
814,S,Sul,2001-07-23,6570.49583333
818,S,Sul,2001-07-24,6930.75
822,S,Sul,2001-07-25,6975.725
826,S,Sul,2001-07-26,7014.14583333
830,S,Sul,2001-07-27,6950.40833333
834,S,Sul,2001-07-28,5810.51666667
838,S,Sul,2001-07-29,4753.9875
842,S,Sul,2001-07-30,6540.38333333
846,S,Sul,2001-07-31,6876.61666667
850,S,Sul,2001-08-01,6989.68333333
854,S,Sul,2001-08-02,7038.225
858,S,Sul,2001-08-03,6943.17916667
862,S,Sul,2001-08-04,6151.0875
866,S,Sul,2001-08-05,4999.85416667
870,S,Sul,2001-08-06,6741.48333333
874,S,Sul,2001-08-07,6974.51666667
878,S,Sul,2001-08-08,7057.125
882,S,Sul,2001-08-09,7035.07083333
886,S,Sul,2001-08-10,7060.62916667
890,S,Sul,2001-08-11,6191.59583333
894,S,Sul,2001-08-12,5020.54166667
898,S,Sul,2001-08-13,6792.40833333
902,S,Sul,2001-08-14,7094.1875
906,S,Sul,2001-08-15,7141.35
910,S,Sul,2001-08-16,7201.27916667
914,S,Sul,2001-08-17,7189.9875
918,S,Sul,2001-08-18,6362.15
922,S,Sul,2001-08-19,5150.58333333
926,S,Sul,2001-08-20,6816.6875
930,S,Sul,2001-08-21,6989.98333333
934,S,Sul,2001-08-22,6938.5875
938,S,Sul,2001-08-23,7006.86666667
942,S,Sul,2001-08-24,7036.925
946,S,Sul,2001-08-25,6201.075
950,S,Sul,2001-08-26,5161.0
954,S,Sul,2001-08-27,6889.8125
958,S,Sul,2001-08-28,7044.9
962,S,Sul,2001-08-29,7024.66666667
966,S,Sul,2001-08-30,7206.7625
970,S,Sul,2001-08-31,7251.02083333
974,S,Sul,2001-09-01,6336.82916667
978,S,Sul,2001-09-02,5185.675
982,S,Sul,2001-09-03,7009.85833333
986,S,Sul,2001-09-04,7200.27083333
990,S,Sul,2001-09-05,7119.42916667
994,S,Sul,2001-09-06,7007.94583333
998,S,Sul,2001-09-07,5496.02083333
1002,S,Sul,2001-09-08,5650.75
1006,S,Sul,2001-09-09,5046.89166667
1010,S,Sul,2001-09-10,6917.275
1014,S,Sul,2001-09-11,6927.3375
1018,S,Sul,2001-09-12,6890.5625
1022,S,Sul,2001-09-13,7112.275
1026,S,Sul,2001-09-14,7005.57916667
1030,S,Sul,2001-09-15,6054.37083333
1034,S,Sul,2001-09-16,4746.775
1038,S,Sul,2001-09-17,6456.75
1042,S,Sul,2001-09-18,6806.5375
1046,S,Sul,2001-09-19,6947.80416667
1050,S,Sul,2001-09-20,6763.77083333
1054,S,Sul,2001-09-21,6840.04583333
1058,S,Sul,2001-09-22,6154.075
1062,S,Sul,2001-09-23,5007.79166667
1066,S,Sul,2001-09-24,6856.20833333
1070,S,Sul,2001-09-25,7084.00416667
1074,S,Sul,2001-09-26,6992.18333333
1078,S,Sul,2001-09-27,6968.83333333
1082,S,Sul,2001-09-28,7059.54166667
1086,S,Sul,2001-09-29,6159.72083333
1090,S,Sul,2001-09-30,5118.49166667
1094,S,Sul,2001-10-01,6680.42916667
1098,S,Sul,2001-10-02,6822.51666667
1102,S,Sul,2001-10-03,6803.33333333
1106,S,Sul,2001-10-04,6897.49166667
1110,S,Sul,2001-10-05,6955.85833333
1114,S,Sul,2001-10-06,6226.47916667
1118,S,Sul,2001-10-07,5123.71666667
1122,S,Sul,2001-10-08,6708.00541667
1126,S,Sul,2001-10-09,6995.00416667
1130,S,Sul,2001-10-10,7013.04166667
1134,S,Sul,2001-10-11,7093.1
1138,S,Sul,2001-10-12,5657.3375
1142,S,Sul,2001-10-13,5845.82916667
1146,S,Sul,2001-10-14,4928.46666667
1150,S,Sul,2001-10-15,6843.34166667
1154,S,Sul,2001-10-16,7153.00416667
1158,S,Sul,2001-10-17,7139.69166667
1162,S,Sul,2001-10-18,7144.89583333
1166,S,Sul,2001-10-19,7149.475
1170,S,Sul,2001-10-20,6300.14166667
1174,S,Sul,2001-10-21,5075.55416667
1178,S,Sul,2001-10-22,6657.56666667
1182,S,Sul,2001-10-23,6812.05833333
1186,S,Sul,2001-10-24,6978.84166667
1190,S,Sul,2001-10-25,7175.6875
1194,S,Sul,2001-10-26,7286.74166667
1198,S,Sul,2001-10-27,6480.1125
1202,S,Sul,2001-10-28,5355.64583333
1206,S,Sul,2001-10-29,7135.29583333
1210,S,Sul,2001-10-30,7342.98333333
1214,S,Sul,2001-10-31,7303.32083333
1218,S,Sul,2001-11-01,7148.2375
1222,S,Sul,2001-11-02,5559.875
1226,S,Sul,2001-11-03,5545.875
1230,S,Sul,2001-11-04,4890.01666667
1234,S,Sul,2001-11-05,6923.0125
1238,S,Sul,2001-11-06,7438.22833333
1242,S,Sul,2001-11-07,7494.59583333
1246,S,Sul,2001-11-08,7311.32916667
1250,S,Sul,2001-11-09,7294.0
1254,S,Sul,2001-11-10,6549.34583333
1258,S,Sul,2001-11-11,5210.9
1262,S,Sul,2001-11-12,6942.1875
1266,S,Sul,2001-11-13,7179.4375
1270,S,Sul,2001-11-14,7210.41666667
1274,S,Sul,2001-11-15,6047.725
1278,S,Sul,2001-11-16,6646.98333333
1282,S,Sul,2001-11-17,5968.22916667
1286,S,Sul,2001-11-18,5094.25416667
1290,S,Sul,2001-11-19,7085.0875
1294,S,Sul,2001-11-20,7383.88333333
1298,S,Sul,2001-11-21,7659.09166667
1302,S,Sul,2001-11-22,7644.02916667
1306,S,Sul,2001-11-23,7730.67916667
1310,S,Sul,2001-11-24,6778.89166667
1314,S,Sul,2001-11-25,5441.66583333
1318,S,Sul,2001-11-26,7232.99166667
1322,S,Sul,2001-11-27,7414.04583333
1326,S,Sul,2001-11-28,7360.57916667
1330,S,Sul,2001-11-29,7272.7125
1334,S,Sul,2001-11-30,7138.78333333
1338,S,Sul,2001-12-01,6171.04375
1342,S,Sul,2001-12-02,5245.90833333
1346,S,Sul,2001-12-03,7052.35
1350,S,Sul,2001-12-04,7258.8875
1354,S,Sul,2001-12-05,7231.81666667
1358,S,Sul,2001-12-06,7289.79583333
1362,S,Sul,2001-12-07,7493.93333333
1366,S,Sul,2001-12-08,6616.6125
1370,S,Sul,2001-12-09,5499.09166667
1374,S,Sul,2001-12-10,7202.66666667
1378,S,Sul,2001-12-11,7502.6875
1382,S,Sul,2001-12-12,7689.03333333
1386,S,Sul,2001-12-13,7720.2625
1390,S,Sul,2001-12-14,7574.7
1394,S,Sul,2001-12-15,6587.88333333
1398,S,Sul,2001-12-16,5538.04166667
1402,S,Sul,2001-12-17,7253.55416667
1406,S,Sul,2001-12-18,7461.7875
1410,S,Sul,2001-12-19,7601.4125
1414,S,Sul,2001-12-20,7815.3
1418,S,Sul,2001-12-21,7386.23333333
1422,S,Sul,2001-12-22,6178.60416667
1426,S,Sul,2001-12-23,5177.76666667
1430,S,Sul,2001-12-24,5336.32916667
1434,S,Sul,2001-12-25,4508.37208333
1438,S,Sul,2001-12-26,6195.19583333
1442,S,Sul,2001-12-27,6541.7875
1446,S,Sul,2001-12-28,6652.14166667
1450,S,Sul,2001-12-29,6029.45833333
1454,S,Sul,2001-12-30,5407.5375
1458,S,Sul,2001-12-31,5517.38333333
